source_id,source_label,target_id,target_label,weight
3,10126,46,12262,0.003544055158
3,10126,47,12380,0.03127225861
3,10126,48,12535,0.005904818419
3,10126,49,12611,0.002638041973
3,10126,50,12676,0.009482778609
3,10126,51,12761,0.01851338334
3,10126,52,12805,0.0008786506951
3,10126,53,12814,0.02221974172
3,10126,54,13018,0.0008786506951
3,10126,55,13062,0.0008786506951
3,10126,56,13083,0.0008786506951
3,10126,57,13398,0.0008786506951
3,10126,58,13514,0.002147563966
3,10126,59,13559,0.00595485745
3,10126,60,13567,0.0008786506951
3,10126,61,13623,0.0008786506951
3,10126,62,13629,0.0008786506951
3,10126,63,13650,0.0008786506951
3,10126,64,13674,0.0008786506951
3,10126,65,13702,0.0008786506951
3,10126,66,13734,0.0008786506951
3,10126,67,13851,0.0008786506951
3,10126,68,13898,0.0008786506951
3,10126,69,13904,0.0008786506951
3,10126,70,13935,0.0008786506951
3,10126,71,14064,0.0008786506951
3,10126,72,14175,0.0008786506951
3,10126,73,14335,0.0008786506951
3,10126,74,14351,0.0016371276
3,10126,75,14381,0.0008786506951
3,10126,76,14413,0.0008786506951
4,10181,0,10020,0.002416037722
4,10181,1,10028,0.002416037722
4,10181,2,10100,0.002416037722
4,10181,3,10126,0.00265364279
4,10181,5,10201,0.002416037722
4,10181,6,10215,0.002416037722
4,10181,7,10237,0.002416037722
4,10181,8,10320,0.002416037722
4,10181,9,10456,0.002774008783
4,10181,10,10462,0.002655413467
4,10181,11,10637,0.002416037722
4,10181,12,10639,0.002416037722
4,10181,13,10664,0.002416037722
4,10181,14,10682,0.002416037722
4,10181,15,10711,0.002416037722
4,10181,16,10764,0.002416037722
4,10181,17,10820,0.002416037722
4,10181,18,10862,0.004101703875
4,10181,19,10906,0.002945068991
4,10181,20,10951,0.002416037722
4,10181,21,11010,0.002416037722
4,10181,22,11130,0.002416037722
4,10181,23,11269,0.002416037722
4,10181,24,11273,0.002416037722
4,10181,25,11276,0.002416037722
4,10181,26,11303,0.002416037722
4,10181,27,11307,0.002416037722
4,10181,28,11424,0.002416037722
4,10181,29,11512,0.002416037722
4,10181,30,11550,0.002416037722
