pub_year,10101,10203,10260,10270,10286,10430,10538,10679,10734,11370,11614,11644,11693,11800,11813,11937,12016,12034,12338,12395,12408,12479,12519,12601,12799,12863,12943,13016,13034,13038,13081,13166,13194,13270,13274,13373,13386,13482,13565,13602,13608,13647,13673,13676,13832,13867,13873,13874,13913,13932,13964,13976,13999,14025,14029,14042,14071,14103,14155,14174,14215,14216,14307,14330,14345,14347,14387,14403,14409,14414,14430,14431,14435,14484,14496,14498,14516,14519
1985,267,23,537,15,98,380,232,466,121,149,18,9,94,26,537,136,97,70,69,117,78,6,69,62,40,402,4,57,177,4,4,125,90,32,11,10,108,64,310,294,112,0,39,6,50,110,19,36,9,2,46,25,126,259,37,20,34,13,2,1,176,46,21,421,156,5,64,195,195,25,121,60,3,101,1,212,24,5
1986,357,21,585,21,159,442,270,648,151,166,28,10,97,26,548,159,103,95,74,121,90,9,91,83,62,397,6,81,211,6,6,92,121,32,22,8,104,73,327,265,99,0,32,2,53,135,10,76,7,1,63,31,170,261,35,20,41,11,1,2,191,40,37,484,157,11,68,201,247,30,154,60,4,144,1,299,21,7
1987,366,26,661,17,125,481,313,617,170,140,38,6,124,44,599,164,131,109,64,125,84,6,123,97,63,422,2,69,198,6,5,95,104,29,21,12,106,55,315,266,107,0,37,2,65,171,9,73,16,2,56,25,169,282,35,17,40,18,5,1,205,38,34,496,168,13,66,205,230,26,115,67,7,182,2,285,11,7
1988,360,33,856,22,165,496,339,729,196,134,36,13,131,32,711,203,135,82,71,143,85,6,114,76,52,467,1,83,214,9,6,92,105,30,16,12,113,67,372,365,119,1,45,0,74,184,19,67,12,0,49,28,169,305,33,19,39,7,5,0,204,46,42,527,155,8,58,219,274,34,119,71,5,170,1,309,16,4
1989,350,28,840,25,178,612,340,770,173,171,33,15,129,49,706,194,127,80,73,161,79,8,116,99,47,477,5,56,205,5,8,100,127,38,18,7,126,42,336,367,111,4,35,6,81,196,15,95,21,1,55,47,179,315,38,24,37,18,6,1,242,42,51,506,166,4,78,223,275,25,130,77,11,157,1,369,16,12
1990,414,34,1000,22,141,617,376,827,216,187,46,13,154,47,746,218,128,96,86,173,85,10,117,123,64,527,4,80,207,10,2,115,142,42,24,16,119,62,404,343,114,0,42,3,105,172,14,113,15,0,58,51,188,343,49,28,38,19,8,4,260,51,68,567,188,9,56,233,277,29,126,84,7,182,0,390,20,1
1991,473,27,928,22,211,631,381,882,185,205,37,15,171,43,799,240,150,92,83,148,93,6,129,127,78,525,5,55,203,4,7,101,147,50,29,14,111,53,436,290,118,1,56,1,119,207,15,127,18,0,54,33,210,322,39,24,46,21,11,4,242,46,56,560,163,9,78,235,307,24,125,108,5,231,1,394,27,7
1992,513,32,1153,24,212,818,404,1098,254,196,37,15,163,61,802,246,169,99,95,192,101,8,137,116,68,548,5,80,217,7,6,128,144,42,17,13,121,53,493,290,99,1,43,3,137,210,14,121,19,2,54,33,264,299,34,21,34,16,6,6,266,51,70,571,173,8,72,294,324,33,146,95,4,243,1,424,18,8
1993,623,39,1113,27,216,873,521,1236,257,209,53,20,212,66,821,230,222,118,119,209,93,9,164,188,76,709,3,79,226,7,4,118,169,46,26,21,97,54,446,308,108,1,39,6,148,203,15,121,18,2,68,40,263,338,47,36,51,19,9,5,285,76,85,664,163,9,74,319,353,26,126,113,7,279,2,542,25,11
1994,617,57,1255,30,222,996,557,1369,251,240,66,18,195,80,832,277,223,125,134,226,128,8,165,210,96,745,4,75,230,2,3,171,163,48,25,18,113,42,490,369,129,1,46,2,158,229,20,124,23,0,58,53,274,297,38,30,56,13,10,5,224,60,81,660,200,10,91,365,365,23,175,141,7,258,2,596,34,17
1995,686,71,1165,38,227,1034,641,1539,285,233,68,30,189,102,893,286,337,160,109,258,116,11,248,215,113,945,3,75,269,7,9,149,180,54,25,25,107,63,555,360,128,1,70,1,188,242,25,132,22,1,62,61,353,338,40,38,79,17,5,5,277,60,101,657,179,9,95,329,431,22,161,144,11,339,2,689,39,14
1996,765,80,1429,44,296,1202,819,1810,350,339,85,39,185,103,1023,309,490,152,154,367,139,14,233,290,128,1142,7,82,287,11,4,217,202,48,31,21,133,65,652,375,163,3,49,5,199,247,24,176,22,3,64,91,423,377,51,63,73,21,12,5,305,82,99,702,242,1,98,380,499,29,182,153,10,381,3,943,17,12
1997,782,121,1294,53,308,1183,926,2019,407,337,75,67,198,99,1025,330,671,182,191,397,173,38,284,381,181,1349,2,119,294,5,9,217,196,50,32,32,120,60,804,431,151,2,58,3,238,293,35,206,41,13,79,128,548,451,47,60,86,20,7,1,298,78,118,819,248,7,93,375,643,27,207,138,17,462,0,1091,29,13
1998,828,168,1403,56,373,1212,1040,2067,395,360,100,64,242,108,987,365,751,170,195,481,176,32,278,456,183,1287,7,122,378,11,7,271,201,66,39,24,147,60,910,398,150,1,62,4,275,334,73,227,35,9,81,172,525,472,59,47,112,25,10,3,283,57,129,829,289,9,101,405,749,26,244,209,20,536,3,1244,42,19
1999,868,205,1504,62,382,1441,1198,2693,497,373,99,70,271,151,984,419,937,197,206,485,157,30,312,513,203,1350,4,144,384,5,12,248,268,60,72,37,157,79,1090,430,179,2,57,3,868,380,65,277,56,13,85,185,573,779,39,252,128,17,16,3,261,126,176,966,252,11,104,453,838,23,707,192,22,554,7,1291,39,15
2000,934,259,1587,90,441,1376,1501,3396,540,462,116,115,301,205,1153,364,1170,271,321,662,257,57,417,801,308,1742,3,168,464,11,30,329,318,64,72,59,212,89,1329,477,188,8,88,7,2265,441,57,345,87,48,122,275,748,1666,55,832,149,21,38,6,364,136,202,1060,326,14,147,525,1293,39,3248,244,38,628,7,1495,54,39
2001,935,334,1608,85,443,1461,1550,4001,628,553,144,122,296,233,1221,509,1496,324,310,649,296,48,466,1046,401,2141,8,180,486,11,49,343,333,79,84,49,230,112,1499,520,188,10,111,7,3336,502,51,415,102,56,93,325,957,2515,52,1288,202,25,50,17,388,170,198,1190,367,16,225,514,1494,37,6205,212,42,722,9,1450,76,47
2002,2242,508,5598,150,621,3553,2884,9260,1064,721,310,215,815,574,1362,603,2368,477,386,768,344,99,543,1550,539,2444,4,203,665,18,46,365,463,114,107,60,284,199,2550,677,248,17,155,6,4442,535,104,488,149,64,150,395,1315,3312,80,1746,238,36,66,16,359,297,264,1220,381,16,292,618,2431,42,8388,289,66,1015,14,1714,114,60
