pub_year,10020,10028,10100,10126,10181,10201,10215,10237,10320,10456,10462,10637,10639,10664,10682,10711,10764,10820,10862,10906,10951,11010,11130,11269,11273,11276,11303,11307,11424,11512,11550,11574,11598,11612,11652,11689,11901,11902,11975,12026,12031,12072,12128,12131,12157,12260,12262,12380,12535,12611,12676,12761,12805,12814,13018,13062,13083,13398,13514,13559,13567,13623,13629,13650,13674,13702,13734,13851,13898,13904,13935,14064,14175,14335,14351,14381,14413
2005,4714,2767,2507,3026,7451,3622,8414,1991,10159,2904,935,823,4528,74,2662,3644,528,3426,1447,2078,1179,3179,3611,4184,94,1117,1642,137,1319,1402,1020,928,1782,77,623,67,1938,1330,2729,50,2875,1173,230,206,6923,2663,471,267,697,752,304,432,1064,431,2205,854,1643,198,31,541,37,3972,462,1962,419,178,23024,755,63,155,413,131,84,977,446,219,102
2006,5078,3250,3061,2922,8477,3533,8974,2486,9903,3064,1051,957,4972,191,2725,4134,762,3353,1574,1945,1316,3235,3732,4310,124,1215,1748,142,1436,1783,1271,979,2421,73,780,93,2049,1323,2991,48,3162,1158,243,270,7795,2878,568,307,711,696,352,549,1171,450,2352,1058,2017,247,50,737,43,4537,584,1956,668,214,25720,833,77,161,452,160,102,1164,448,278,109
2007,5525,3581,3339,3028,9014,3455,9729,2754,8743,2876,1104,1128,5003,276,2736,4103,1003,3212,1573,1771,1418,3292,3720,4167,138,1126,1822,229,1685,1845,1456,1074,2516,97,845,96,2222,1499,3024,42,3196,1272,263,291,7807,3041,675,348,809,745,383,616,1315,518,2396,1119,2295,279,48,902,47,4964,674,2047,763,232,27830,909,73,196,461,217,86,1238,511,247,141
2008,5736,4329,3622,2873,9935,3717,10359,2954,8973,2884,1144,1296,5221,349,3013,4593,1132,3305,1760,1773,1580,3369,3802,4154,172,1491,1863,270,1824,2307,1794,1137,2912,105,1026,118,2446,1447,2966,53,3269,1357,307,334,8387,3209,740,406,857,847,414,684,1366,602,2727,1268,2768,339,52,1604,61,5129,728,2145,1035,255,28305,970,82,183,569,259,126,1278,543,275,164
2009,5844,4497,4307,2907,10334,3583,10230,3288,9348,2784,1189,1366,5016,547,3038,4961,1380,3264,1761,1707,1766,3265,3881,4200,277,1714,1952,354,2007,2615,1922,1343,3159,138,1115,125,2496,1613,3170,60,3335,1380,333,440,9344,3402,837,400,868,833,483,738,1579,627,3360,1371,3117,344,51,1900,85,5192,760,2341,1312,296,29175,1025,79,217,614,403,139,1410,608,262,196
2010,5952,5224,4698,2966,11211,4050,10885,3544,9604,2601,1258,1497,5305,832,3164,5375,1775,3521,2065,1836,1919,3280,4097,4556,372,2293,2097,401,2076,2938,2228,1462,3357,171,1281,168,2647,1700,3311,62,3599,1501,390,482,10116,3700,999,466,1052,951,547,899,1675,698,3371,1425,3467,397,98,2748,91,5457,909,2496,1850,325,28733,1142,84,244,738,629,165,1501,641,320,274
2011,6288,5199,4418,2773,11255,3925,10122,3594,9190,2571,1292,1597,5021,837,3232,5560,2001,3524,2214,1710,2014,3311,4166,4348,440,2434,2107,517,2166,3098,2189,1529,3326,202,1437,183,2686,1667,3218,70,3346,1498,392,526,9802,3764,1106,542,1095,1072,669,991,1774,750,3434,1372,3563,430,104,3457,106,5750,956,2676,1958,412,24794,1255,92,250,836,780,209,1580,687,307,324
2012,6533,5773,4637,2764,11671,4135,10006,3957,8657,2378,1192,1708,4975,1203,3456,5341,2317,3410,2356,1526,2346,3067,4277,4452,618,3039,1957,580,2311,3372,2440,1514,3562,300,1602,180,2835,1748,3238,70,3463,1599,397,532,10883,2932,1413,694,1133,1118,807,1132,1787,863,3811,1308,3736,450,109,4484,123,6120,1161,2806,2266,483,20378,1300,96,235,887,1029,249,1519,818,306,410
2013,6846,6090,4759,2619,11643,4168,10095,4544,8584,2263,1280,1770,4459,1521,3676,5315,2756,3438,2465,1615,2399,3124,4362,4528,716,3575,2098,716,2291,3685,2575,1455,3733,355,1651,212,2959,1921,3315,100,3349,1715,488,538,11158,2583,1612,737,1352,1219,1002,1335,1917,952,3986,1212,4250,490,109,5989,146,5824,1239,2662,2818,578,16980,1383,104,199,907,1247,235,1631,786,331,528
2014,6939,6569,4830,2544,12361,4216,9610,4783,8495,2001,1370,1847,4191,1863,3940,4950,3237,3250,2612,1562,2560,2992,4400,4324,888,4109,2181,846,2620,4099,2922,1640,3919,468,1951,235,2976,2037,3293,105,3384,1694,513,518,12273,2041,1739,835,1436,1342,1231,1597,1990,1047,4188,1126,4563,622,152,7096,142,5978,1366,2723,2905,674,12154,1475,120,191,915,1556,249,1507,907,322,426
2015,6688,6761,4641,2522,11962,4353,9082,4927,8227,1988,1375,1836,4091,2245,3708,4475,3561,3142,2853,1584,2497,3067,4204,3935,1063,4082,2138,1044,2422,4410,2946,1585,3776,554,1943,292,2725,1968,3231,138,3235,1786,524,488,11501,1734,1952,813,1671,1410,1461,1731,1991,1083,4136,1061,4845,721,109,9338,102,6008,1329,2941,3672,827,8184,1637,105,182,919,1757,272,1568,960,326,395
2016,6842,7794,4394,2473,12521,4396,8507,4737,8398,1706,1465,1929,3265,2803,3820,4317,3788,2915,3102,1375,2656,2871,4076,3801,1313,4344,2083,1258,2403,4857,2969,1559,3884,720,2033,481,3059,2011,3035,228,3148,1726,652,530,11687,1113,2247,937,1782,1538,1573,1967,1810,1110,4292,992,5342,799,89,10807,72,6575,1583,3136,3984,1025,4511,1778,98,177,892,2237,317,1307,869,294,319
2017,7115,7906,4436,2196,11706,4007,7575,4686,8542,1538,1662,1895,2889,3162,4048,4112,4089,2868,3353,1280,2689,2669,4008,3556,1602,4912,2003,1723,2427,5746,3113,1608,3722,883,2174,797,2770,2000,3097,380,2753,1856,814,590,11572,1128,2522,917,2035,1831,1892,2175,1876,1175,4286,899,5199,876,75,13601,75,6447,1428,3034,4635,1253,3806,1883,83,161,830,2584,315,1257,916,311,510
2018,7258,10112,4547,2375,13044,4608,7231,4988,9432,1584,2317,1970,2746,3978,4466,4275,4729,2751,4196,1317,2776,2855,4009,3365,1997,5380,2051,2517,2509,7161,3510,1747,4313,1198,2564,1678,2619,2003,3099,718,3251,2043,1377,692,12105,1429,3064,936,2497,2067,2221,2399,2075,1380,4308,899,5620,898,78,14867,152,6058,1590,3259,4695,1652,3807,2198,123,158,946,3275,361,1155,1001,333,683
2019,8269,11874,4919,1965,14027,4920,6971,5180,10421,1458,3153,1947,2456,4678,5344,4523,5326,2815,5349,1249,2936,2572,4168,3111,2720,5683,2182,3787,2579,9252,3859,1776,4580,1468,3106,2821,2760,2124,3349,1273,3166,2197,1807,1166,13887,2016,3753,1036,3184,2719,2677,2715,2147,1559,5494,972,5990,1112,78,18226,252,5795,1779,3471,5301,2463,3547,2728,118,233,1025,4036,359,1288,1131,233,1032
2020,8393,14063,4917,1796,15362,4998,5837,5259,9358,1272,3381,1834,2026,5502,5740,3841,6039,2484,6552,1159,2848,2368,4062,2667,3527,5961,2135,4502,2411,11012,3830,1800,4918,1759,3563,3859,2754,2083,3179,1791,3199,2258,2351,1358,12960,2943,4595,1046,3547,3021,2831,2881,2020,1578,4842,875,6048,1778,102,18824,543,4966,2035,3380,4983,2975,2964,3040,83,283,1017,4829,301,1150,1084,243,1857
2021,9057,16408,5262,1758,15199,5134,4649,5471,8877,1221,4153,1760,1792,6556,6627,3767,6948,2287,8379,1273,2948,2483,3950,2429,4691,6333,2259,6913,2438,13530,4003,2060,5309,2076,4109,5308,2871,1676,3144,2590,2963,2462,2583,1702,12315,3526,4996,980,4285,3500,3300,3026,1787,1710,3577,714,5840,1869,47,19642,961,3184,1990,3003,4097,3618,2297,2919,62,369,973,5510,311,818,1067,168,2778
2022,9004,14377,5278,1335,12296,4958,3285,5317,7240,801,3560,1484,1463,6551,6394,3537,7706,1996,9168,788,2718,1754,3763,1937,5414,6359,1717,6953,2256,13710,3950,1298,5490,1847,4127,5171,2338,1487,2944,2593,2446,1704,3037,1881,11176,3517,4514,706,3601,3947,3572,2715,1618,1280,2586,668,5111,605,30,18064,1339,2033,1746,2101,3666,3827,1967,2291,48,425,731,5602,261,692,829,114,3610
2023,9725,18563,5086,1408,14711,5825,3280,6105,7871,927,3963,1445,1335,7319,7300,3732,9655,1942,10861,831,2889,1869,3739,1919,5926,7045,1763,8819,2328,15580,4276,1322,6375,2188,4689,6441,2088,1818,2966,3730,2856,1741,4418,2243,11123,4161,5255,810,4047,4794,3828,2959,1742,1281,2570,671,5550,543,31,21076,978,2232,2350,2416,4741,5144,2082,2891,56,465,735,6838,266,664,788,119,3559
2024,9673,17435,4408,1278,15438,6480,5362,5636,13741,1285,3958,1663,1178,6975,8256,3799,9795,2555,12369,1340,2558,1661,3242,2488,5418,6553,1702,5318,2086,18508,3933,1614,5153,2069,4663,5719,2220,3431,2870,4143,3704,1813,7170,1941,12065,5136,5191,798,3846,4764,3660,2712,1973,1283,3498,1246,6295,539,51,18723,571,2202,1968,3057,6664,6733,4262,4127,59,406,746,6951,233,708,917,140,2440
