pub_year,1502,1503,1504,1506,1507,1508,1602,1603,1604,1605,1606,1607,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1902,1904,1906,1907,1908,1910,1911,1912,2100,2102,2103,2104,2105,2200,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216,2302,2303,2304,2305,2306,2307,2308,2309,2310,2311,2312,2500,2502,2503,2504,2505,2506,2507,2508,2602,2604,2605,2607,2608,2610,2611,2612,2613,2614,3102,3103,3104,3105,3106,3107,3108,3109
1984,3709,4024,565,1305,3729,1006,6812,4612,14646,46460,13252,22516,17549,10731,1250,10710,1339,5528,3155,650,6884,2846,1348,13920,4975,3893,3566,11509,10935,4928,720,417,527,891,47,8070,159,22440,4641,32339,16648,20515,13075,43911,6294,34628,24070,11888,6203,3316,6686,930,933,22141,7747,6321,13064,7897,9954,8148,4682,4812,6890,3348,5122,3040,9817,41726,1091,6700,4817,2973,7145,43,1460,5957,7235,899,3327,5135,826,160,23013,7734,4027,14687,37288,8856,9298
1985,3700,4235,614,1249,3838,1052,7079,4550,14987,47547,13042,22313,18656,11345,1419,11443,1338,6256,3430,670,7353,3051,1556,15078,5204,3964,3945,12117,11279,5144,669,420,485,720,67,8060,172,24620,4491,34484,17657,21554,14765,49022,6943,36682,25447,12083,6716,3603,7116,961,987,22199,7822,6463,13524,8128,10691,8530,5086,5030,7087,3734,5361,3466,10908,44828,1177,7359,5080,3098,7359,71,1522,6205,7277,927,3331,5348,893,165,23684,8571,3744,15792,40178,9267,9525
1986,3786,4696,645,1333,3988,1190,7515,4576,15644,47492,12835,22505,20696,12162,1532,13108,1529,6937,4070,897,8392,3304,1736,15252,5369,4192,4079,12000,11435,5400,703,416,429,618,56,8350,181,24498,4541,35835,17788,22706,15506,50680,7809,38303,26035,12670,6583,3625,7463,1002,1030,23591,7676,6795,13974,8859,11053,9277,5152,5050,7210,3745,5584,3782,10866,45839,1252,7428,5368,3008,7535,71,1582,6407,7518,929,3680,5762,833,179,24833,8938,4214,15903,42191,9732,10164
1987,4073,4582,641,1354,4118,1310,7824,4850,16306,48532,12592,23224,22987,12877,1705,14140,1470,7530,4467,861,8640,3649,1902,15499,5647,4421,4122,12703,11803,5407,705,352,471,552,85,8293,206,25976,4693,38816,19927,24371,16629,55761,7796,39876,27079,13385,7007,3919,7434,999,1087,24557,8006,7117,14283,8807,11411,9584,5481,5464,7872,3841,5732,3890,13673,48135,1299,8063,5621,3295,7745,55,1777,6899,7989,974,3869,5850,884,195,25410,12436,4622,16617,45132,9326,10798
1988,4051,4663,669,1444,4229,1234,7965,4842,16227,48835,12947,23070,24703,13816,1756,15120,1603,8388,4946,1062,9456,3919,2096,16126,5862,4570,4340,13735,11915,5648,710,368,381,608,60,8394,220,26111,5137,40173,20830,24123,17074,56303,8298,41939,28314,14166,7787,4117,7993,1010,1113,24974,8440,7412,14931,8940,11453,9921,5595,5479,8286,4062,5969,4374,15132,50109,1205,8138,5521,3473,8255,47,1735,7279,8354,946,3793,6428,912,210,25710,15379,4532,16539,47529,9675,11065
1989,4452,4643,649,1373,4353,1362,7991,4883,16368,49373,12895,23659,26230,14887,1951,15712,1661,9181,4911,1191,9816,4538,2157,16599,5903,4716,4240,13692,11667,5646,732,375,452,516,70,8626,253,27191,5623,42745,22775,26235,18353,60973,9143,42733,30096,14592,7773,4613,8962,1165,1140,25717,8338,7661,15546,9438,12729,10005,5925,5621,8548,3975,6136,4489,15442,51491,1265,9125,6233,3584,8712,77,1867,7745,8595,1060,4357,6544,985,234,26315,15919,4542,17350,49799,9660,11788
1990,4578,4490,686,1341,4557,1370,8418,5095,16748,52279,13403,24231,29372,15834,2224,17275,1702,10633,5322,1306,10679,5007,2377,18080,5881,5042,4852,14954,12938,5982,804,414,393,506,78,9027,292,30116,6183,46335,24474,27718,19614,65577,9628,47439,32491,15007,7376,4956,9726,1243,1262,29172,9525,8714,17269,9818,14797,12117,6754,6325,9788,4441,6819,5007,16317,53080,1278,9617,6699,3820,9216,84,2099,8327,9074,1209,4526,6612,1020,286,27611,16452,5043,18349,53545,10314,12475
1991,4829,4617,752,1229,4639,1309,8172,5329,16842,51299,13292,24244,30706,16714,2351,18639,1688,11611,5759,1394,10884,5987,2514,18178,6566,4939,4827,15300,13192,6087,833,459,501,465,79,9396,270,31424,6299,47733,24948,29509,21416,71109,10167,49693,35040,16305,8631,4947,9899,1220,1314,27470,9128,8472,17431,9845,14755,11056,6836,6219,9086,4800,6845,5819,17847,59220,1394,10449,6870,3988,9406,77,2018,8592,9269,1157,4303,6876,1020,300,28194,18479,5198,18360,56904,10122,12934
1992,4851,4787,695,1262,4721,1411,8340,5188,16830,52946,13265,24578,33323,17792,2726,20059,1872,13074,6317,1620,11946,6312,2874,18711,6161,4931,4854,16136,12907,6574,854,507,445,471,89,9952,221,33834,7164,50184,26027,30362,23009,73238,10844,51553,36119,16474,8744,5260,10588,1312,1336,28411,9425,9203,18025,10072,15852,11788,7036,6913,10745,4674,7335,5834,17317,60810,1322,10761,7033,4268,10113,92,2356,9002,10070,1124,4775,7219,974,332,29097,17430,5000,19582,58599,10728,13515
1993,5258,5079,721,1347,4818,1420,8490,5224,17744,54191,13648,25381,35266,18269,2740,21760,1964,13878,6620,1742,13106,6403,2998,21457,7349,5438,5511,17399,15388,6762,856,566,523,563,96,10819,297,33912,7908,52282,27114,31729,23948,78755,11809,54191,37399,17579,9485,6090,11709,1425,1485,30902,10273,10167,20139,10376,17928,12588,7853,7096,11986,4389,7753,5865,19640,65661,1451,12139,7727,4235,10170,80,2249,9249,9968,1155,4693,7476,1004,340,31155,18503,6316,19638,63546,11428,14416
1994,5372,5304,765,1336,5289,1561,8848,5507,17851,55126,13471,25095,36672,19170,2843,23520,2121,15095,6837,1839,14044,6933,2980,21533,7000,5315,5812,17854,15018,6930,948,561,599,503,79,11009,275,33593,8011,55040,27809,32379,24604,79783,11772,55340,38216,18221,9549,6356,11955,1560,1504,31287,10884,10823,21276,11349,18530,13143,8397,7749,12429,4360,8026,6369,19779,67358,1375,12478,7359,4402,10483,85,2358,9402,10512,1238,4926,7521,1038,273,30891,20241,6366,20074,63652,11183,14353
1995,5630,5528,764,1367,5489,1835,9575,5643,18446,56278,13374,26069,37528,20186,2978,24532,2389,15481,6790,2022,15389,6921,3051,22760,7668,5772,5821,17895,16679,7055,919,723,671,1083,93,11974,376,34078,9381,57637,30155,33647,25581,84235,12687,60062,40923,20032,10249,6764,13108,1606,1785,33857,11907,11855,23992,13195,20165,14455,10075,9060,13502,4552,8562,6645,20002,70146,1484,12878,7718,4732,11247,83,2447,9844,11106,1332,5215,8006,1068,337,30885,19038,6282,22407,63472,12096,14880
1996,5711,5720,769,1384,6480,1824,9494,5269,19885,59138,14150,26562,41116,21345,3161,26930,2934,17990,6970,2250,17982,8037,3360,23980,7761,6001,6224,19378,17725,7483,1045,766,693,1052,102,12548,422,35969,9951,63362,32366,37143,27303,92273,13514,64863,43208,21115,10541,7679,14547,1755,1829,35134,12770,12628,25362,13510,21035,15283,10187,9131,14890,5023,9792,6820,22112,76350,1612,14643,8186,4775,11316,84,2816,10612,11687,1472,5240,8359,1079,417,33539,21144,6665,22196,69639,12000,16278
1997,6258,5862,809,1285,6079,1946,9898,5489,20002,59366,14236,27229,41546,21529,3344,28287,3143,17661,7059,2435,19854,8054,3470,25363,8426,5907,6429,19082,18825,7430,1078,754,744,1018,91,12655,443,36393,10351,64360,32538,37368,29061,92770,13790,65091,43665,20728,9812,7909,14579,1756,1911,37330,12817,12547,26570,13525,21372,16220,10642,9539,15215,4644,9664,6924,23486,77940,1497,15381,8041,4772,11949,84,2755,11045,12319,1511,5332,8707,1055,362,35047,21767,7041,23828,68690,12281,17067
1998,6140,5721,760,1393,6470,2162,10191,5590,20628,61491,14338,26979,44034,22381,4095,30299,3540,19868,7065,2749,21354,8782,3449,26177,8052,6149,6201,19861,18555,7841,1123,658,712,1037,117,14786,520,37535,12290,67354,35008,38457,29701,97726,14300,70157,43958,21451,9896,8655,16229,1916,2080,39001,13243,13677,27164,14418,23062,17296,10961,9441,16477,4817,10320,7042,24185,80269,1540,16180,8333,4813,12228,97,2882,11282,12612,1529,5416,8633,1191,396,36063,20972,6885,25186,71855,11661,17550
1999,6557,6040,826,1369,6668,2329,10732,5631,21392,62824,14080,27486,48748,23704,4262,32513,3809,20917,7503,3167,25329,9922,3857,26970,8303,6659,6548,19582,17853,8026,1217,604,1044,967,135,15056,1101,38171,13154,71275,37501,39117,36122,103110,15367,72610,47279,21339,11954,9046,16954,2122,2824,39090,13252,13592,27717,14971,24292,17457,11194,10485,17746,4573,10761,6909,25801,84021,1466,17136,8575,5165,13007,82,3159,12119,13051,1747,5714,9337,1192,364,38279,21719,7037,26122,69185,12495,17437
2000,6602,6627,760,1429,7367,2480,11940,5666,22077,63925,14802,28889,57829,25887,5177,36384,4443,22777,8052,3573,35140,10318,4289,31134,8356,7742,7652,21418,19127,9120,1288,738,2029,999,142,16540,2691,43752,14953,77189,44646,43084,48816,111832,17658,85895,56364,25195,16490,10437,20416,2492,4234,47927,14900,15529,33115,17283,28359,20784,12122,11519,22663,5353,12429,7392,26801,91284,1598,19392,8298,5561,14192,114,3442,13014,14435,2424,6350,10023,1298,398,39885,23218,7302,26476,74017,12324,19357
2001,6818,7330,790,1410,7488,2622,12267,5883,22823,64351,14623,28178,65296,26714,5809,39163,4932,24677,8053,3953,43212,10372,4293,34192,9551,8723,8540,23996,20866,9567,1383,798,2665,790,170,17521,3643,45427,15514,81812,46979,44938,56776,120653,18429,89579,60378,26644,19138,11710,21093,2520,5091,48667,15964,16126,35745,17441,28553,20320,12517,12327,24625,5514,12987,7773,28065,96222,1716,21086,8891,5718,14801,122,3520,13779,14526,2947,6711,10133,1352,408,43512,23023,7217,29606,73623,13408,19953
2002,8340,7585,806,1446,7987,2742,14341,6315,24049,67146,15193,30051,119378,45766,9650,104146,7015,65822,35779,7537,67300,36922,10910,40471,10480,9436,9542,26170,26890,9499,1546,964,4007,1160,222,20071,4667,79728,20490,119145,55728,60280,106193,263862,28858,113619,72377,34873,24942,21984,24764,3958,6347,52999,17621,21162,40868,19532,32136,22044,14632,14353,27882,5849,14361,8619,34343,115305,1969,23078,10874,6033,16751,162,4108,14754,16129,3518,8122,12365,1375,463,49809,26056,7687,32465,100784,17190,25736
2003,8242,8581,886,1565,8244,2884,15023,6511,25637,68949,15232,31309,105879,39326,9344,80680,7295,49961,22189,7077,70682,25491,7953,43610,11036,10525,11355,28609,25847,10745,1481,1317,4802,1084,175,22161,5871,68696,20028,114670,59320,58115,93826,212446,25695,114538,75722,35007,27035,18421,26009,3520,7410,56492,19631,21703,43476,21330,35148,22645,15888,15245,30907,6171,16746,9033,33970,118086,2022,23802,10981,6396,17906,161,4366,15498,16732,4344,8512,12450,1489,473,50998,25175,8710,33060,93501,15463,24849
2004,8573,9578,826,1650,8956,3245,16790,6968,26894,73128,15627,33106,109332,37721,9474,81263,8408,49066,16448,7195,80118,22869,7441,44973,11070,11036,10838,28645,25082,10994,1711,1447,5540,1172,187,24007,6793,68711,21015,119876,64582,57559,97498,203125,26664,121394,78445,35786,28925,18448,28986,3550,8652,61226,19906,22612,45744,23648,37332,24485,16633,16385,34205,6290,18150,9450,36401,124551,2345,25654,11662,6311,17554,153,4237,15451,16587,4522,8362,13091,1555,550,52698,25132,9006,31819,94932,16812,25017
