pub_year,1312 - Molecular Biology,1110 - Plant Science,1311 - Genetics,1106 - Food Science,"1105 - Ecology, Evolution, Behavior and Systematic",2403 - Immunology,2805 - Cognitive Neuroscience,2804 - Cellular and Molecular Neuroscience,1307 - Cell Biology,1306 - Cancer Research,1100 - General Agricultural and Biological Science,1109 - Insect Science,1102 - Agronomy and Crop Science,1111 - Soil Science,1103 - Animal Science and Zoology,3004 - Pharmacology,1305 - Biotechnology,2808 - Neurology,1104 - Aquatic Science,1303 - Biochemistry,1308 - Clinical Biochemistry,3003 - Pharmaceutical Science,2404 - Microbiology,2405 - Parasitology,2807 - Endocrine and Autonomic Systems,1107 - Forestry,1304 - Biophysics,1310 - Endocrinology,2406 - Virology,1313 - Molecular Medicine
1985,1.0,0.43852195039267755,0.3326967625289564,0.13057234872026668,0.2326007119046274,0.2078535510480818,0.11723826204870332,0.20532233459517488,0.1520876885699757,0.09123679303915476,0.0542177524153907,0.09593762359455336,0.07748460364992373,0.038115147748460365,0.08496525227413979,0.06264760720944686,0.05272614271992768,0.04460138990903441,0.031154302502966268,0.07113396237075541,0.06430871800666704,0.06829764393468557,0.033369116899259844,0.028973388327024126,0.03492852703542573,0.007966551782586586,0.023379851969037798,0.01835131928357534,0.0,0.004124526809424261
1986,1.0,0.4535082095471981,0.3305334304062938,0.12995099264346333,0.23706086257294054,0.209340736957632,0.11482499701174655,0.20529844502156977,0.1569648038075782,0.09241852934464885,0.05842850467797494,0.0985688982581199,0.07995479587512361,0.0383909070164191,0.08141089028219979,0.06174274941049909,0.0516478859465157,0.04359590120290784,0.031132167733382593,0.07093570365218903,0.06079737468351679,0.056602953481043605,0.031240831495104697,0.029274017407934626,0.033175046453758135,0.009301618003412043,0.02278679083312506,0.016984145957164746,0.0,0.0028795896856357375
1987,1.0,0.4365089261591537,0.33069393353700355,0.12228526300475923,0.2254920298439221,0.21142215848868384,0.11370201799779704,0.20523931250909241,0.14966643805723548,0.09067481347548684,0.05355695492237671,0.09581852567699566,0.07371615021717896,0.03585011534384937,0.07805972940956418,0.058357752977118274,0.05288151796662302,0.04436062098634578,0.02777604588814764,0.06796974042438224,0.05751605461687138,0.05067855435708793,0.03110127397801193,0.028877527692915187,0.03173514558264231,0.006536151464139493,0.019494149676829393,0.01592992081800611,0.004582579961344224,0.0
1988,1.0,0.4472437791017874,0.3275421819456266,0.12443799128823912,0.22101837480598807,0.21126520803084164,0.11361337806038152,0.20636859760676915,0.15034296300005007,0.08929054223201321,0.05688679717618785,0.09372653081660241,0.07612276573374055,0.03779101787413008,0.07644319831772893,0.05825864917638812,0.05651629700095128,0.04417964251739849,0.026405647624292795,0.06395634106043158,0.05534471536574376,0.048064887598257645,0.031602663595854404,0.0280578781354829,0.03190306914334352,0.007069543884243729,0.021358834426475744,0.01654233214840034,0.01255695188504481,0.0
1989,1.0,0.43991107874513713,0.33214196738276386,0.12288955750177268,0.21312355071769418,0.2112550545217608,0.1147352484620839,0.20492133151913533,0.14926889097564247,0.0909526455989728,0.05239454974032694,0.09164255188670206,0.07232517583028306,0.036057185565627335,0.07222935551254288,0.05505835457350377,0.05539372568559437,0.04082903738908798,0.02619727487016347,0.059121136045687125,0.05114888560970468,0.04725858070945363,0.02873651329027807,0.027644161668040092,0.030940380598302064,0.005845039382150591,0.020907993330905886,0.01525459458423564,0.012811176481861215,0.0
1990,1.0,0.6096634702526347,0.34977861020723466,0.16193821800636982,0.2557764178872595,0.19955290482396706,0.11548520184016779,0.2032384191128872,0.15347966062196292,0.08790857853080036,0.08987648779982566,0.1198180547044252,0.14179304154187417,0.06744404836913835,0.09113664022648219,0.05434191560431214,0.05908043397578091,0.04289696959234932,0.027887345825529306,0.06149716465704002,0.04967244668087935,0.044364270363113786,0.03196126325965182,0.033609818831510714,0.030934152720116695,0.016511449261602466,0.021249967633071232,0.018047799480402905,0.018229054281497337,0.0
1991,1.0,0.43508188308988116,0.3275765967423713,0.12512939386164368,0.21065763047767347,0.21033027506701937,0.11790103249666009,0.2051102833836163,0.14646058021534678,0.08817362223185611,0.05365089757314624,0.09012005980871828,0.07111575110371858,0.036433772461447266,0.06742636715121166,0.05370398223433339,0.05884434692595575,0.042626982933281425,0.026374229166482344,0.057393366186840315,0.045396232758544416,0.040999053323542166,0.030249409433144293,0.02815256531625187,0.029727410264803984,0.006856768736673538,0.021817795747918638,0.016951701805763223,0.01851769931078415,0.0
1992,1.0,0.46418655832063654,0.3174369392246487,0.12806839343152193,0.20805823599119688,0.19803622820382596,0.11934992381919757,0.21071609954291518,0.14539529371931606,0.08890299644489588,0.055366514305061794,0.08850516336549856,0.06991704757067886,0.03965633993566955,0.06666666666666667,0.050990350431691214,0.05453699001185035,0.040502793296089384,0.025782969358388353,0.055781276451667514,0.04335534112070425,0.036727611308616896,0.027992212629084138,0.027585915016082613,0.03069239884882343,0.008269849331301845,0.023235144743524633,0.016395801591332318,0.018969019807008634,0.0
1993,1.0,0.47328294663190207,0.3179890425426582,0.1364318954420938,0.21144262186870855,0.20599689758737913,0.11802369715172117,0.1970279547179775,0.14340407274167463,0.08928512492161457,0.056528268259678535,0.08734611703356547,0.07059638931977953,0.042839697679791414,0.06685864219941252,0.048318426350704644,0.057576157628964654,0.038854417637545796,0.027863955906135517,0.05125581702366415,0.04161853526519027,0.03479487771873659,0.027360638964982344,0.02688207531601703,0.028722070035314698,0.00953001749232648,0.024134459883164462,0.015025248358031618,0.01920030364038417,0.0
1994,1.0,0.4761187741854949,0.32017694420172266,0.13471320684059418,0.20829172387966546,0.20584196729496942,0.11749469479465735,0.19963175633503932,0.14478529521907377,0.09381631506678317,0.05934808388465859,0.0877621395581076,0.06942017226313818,0.04283173136936712,0.06274965672200725,0.04864405192859818,0.057990575458744226,0.04002309324678567,0.028008363500187244,0.05213924603669954,0.039367744351516666,0.03368025215328923,0.026635251529147422,0.025644426413681188,0.031090063662464112,0.010376357508425915,0.023241480464361503,0.017413556360004995,0.019574647359880164,0.0
